timestamp_jst,timeframe,symbol,broker,server_gmt_offset,close,ma20,ma50,ma200,rsi14,macd_main,macd_signal,atr14,volume,d_open,d_high,d_low,d_close,w_pp,w_r1,w_s1,w_r2,w_s2,notes
2025-11-10T18:00:00+09:00,H1,SILVER#,XMTrading,+3,49.64100,48.66810,48.48532,48.18258,77.42,0.28738,0.14307,0.27036,5128,48.32600,49.81000,48.25000,49.64300,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T19:00:00+09:00,H1,SILVER#,XMTrading,+3,49.93000,48.70975,48.51404,48.19625,80.89,0.33476,0.17772,0.26800,7342,48.32600,49.99000,48.25000,49.93600,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T20:00:00+09:00,H1,SILVER#,XMTrading,+3,49.82000,48.77310,48.54756,48.21113,76.10,0.35929,0.21431,0.28014,5516,48.32600,49.99000,48.25000,49.82800,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T21:00:00+09:00,H1,SILVER#,XMTrading,+3,49.92200,48.83820,48.57764,48.22474,77.43,0.38255,0.24908,0.27800,4277,48.32600,49.99000,48.25000,49.92700,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T22:00:00+09:00,H1,SILVER#,XMTrading,+3,49.95800,48.91175,48.60912,48.23888,77.90,0.39929,0.28186,0.27079,4209,48.32600,49.99000,48.25000,49.93800,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T23:00:00+09:00,H1,SILVER#,XMTrading,+3,50.09900,48.99350,48.63930,48.25290,79.68,0.41910,0.31321,0.27879,4777,48.32600,50.13000,48.25000,50.09500,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T00:00:00+09:00,H1,SILVER#,XMTrading,+3,49.86400,49.08860,48.66604,48.26803,69.61,0.41110,0.33997,0.28186,9657,48.32600,50.19600,48.25000,49.86600,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T01:00:00+09:00,H1,SILVER#,XMTrading,+3,49.96300,49.16680,48.69054,48.28198,71.26,0.40804,0.36152,0.30236,10559,48.32600,50.19600,48.25000,49.96700,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T02:00:00+09:00,H1,SILVER#,XMTrading,+3,49.87400,49.25180,48.71640,48.29656,67.70,0.39389,0.37727,0.26657,8713,48.32600,50.19600,48.25000,49.86600,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T03:00:00+09:00,H1,SILVER#,XMTrading,+3,50.09900,49.32945,48.74008,48.31147,71.56,0.39627,0.38937,0.26236,6830,48.32600,50.19600,48.25000,50.10400,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T04:00:00+09:00,H1,SILVER#,XMTrading,+3,50.31900,49.41310,48.77154,48.32623,74.75,0.41117,0.39786,0.26257,5516,48.32600,50.31900,48.25000,50.31500,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T05:00:00+09:00,H1,SILVER#,XMTrading,+3,50.42800,49.50980,48.80786,48.34124,76.17,0.42685,0.40536,0.26514,4763,48.32600,50.44100,48.25000,50.43700,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T06:00:00+09:00,H1,SILVER#,XMTrading,+3,50.52900,49.61515,48.85352,48.35547,77.44,0.44233,0.41200,0.25121,3482,48.32600,50.54700,48.25000,50.53100,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T07:00:00+09:00,H1,SILVER#,XMTrading,+3,50.48300,49.71255,48.90650,48.37087,75.47,0.44575,0.41717,0.24886,3536,48.32600,50.54800,48.25000,50.49100,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T08:00:00+09:00,H1,SILVER#,XMTrading,+3,50.49600,49.81035,48.95698,48.38590,75.65,0.44438,0.41997,0.23607,1198,50.41200,50.42800,50.41200,50.42800,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T10:00:00+09:00,H1,SILVER#,XMTrading,+3,50.49100,49.88730,49.00544,48.40137,75.41,0.43785,0.42295,0.22657,2003,50.41200,50.60800,50.39200,50.49500,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T11:00:00+09:00,H1,SILVER#,XMTrading,+3,50.73700,49.96120,49.05214,48.41630,78.95,0.44736,0.42732,0.22764,3325,50.41200,50.74600,50.39200,50.71800,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T12:00:00+09:00,H1,SILVER#,XMTrading,+3,50.65600,50.04320,49.10322,48.43129,75.12,0.44326,0.43280,0.23900,8654,50.41200,50.85900,50.39200,50.65600,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-11T13:00:00+09:00,H1,SILVER#,XMTrading,+3,50.65300,50.11530,49.15600,48.44421,74.97,0.43475,0.43708,0.24407,6033,50.41200,50.85900,50.39200,50.64600,48.09133,49.32267,47.08967,50.32433,45.85833,""
